Index,Price,Open,High,Low,Vol.,Change %
227,359.75,362.75,363,357.5,169.87K,-0.96%
228,358.5,358,362,357,122.54K,-0.35%
229,357,359,360,356.75,129.89K,-0.42%
230,362.75,357.25,365.5,355.25,172.93K,1.61%
231,359.75,363,369,357.5,122.79K,-0.83%
232,358,359.75,364.5,356.75,11.24K,-0.49%
233,349.75,358.75,359,349,5.34K,-2.30%
234,346,350.5,351,344.5,3.85K,-1.07%
235,346.5,346.5,349.75,346.5,1.81K,0.14%
236,342.5,347.5,348.25,341.5,1.36K,-1.15%
237,340.75,343.25,343.25,340,0.94K,-0.51%
238,348.5,344,349.5,344,0.31K,2.27%
239,348.25,349.75,349.75,344.75,0.33K,-0.07%
240,354.5,349.75,353.75,349.5,0.15K,1.79%
241,355.5,358.5,358.5,358.5,0.12K,0.28%
242,374,372,374.75,367.5,133.44K,5.20%
243,368,374,374.25,366,154.63K,-1.60%
244,371.25,367.75,372,365.75,126.83K,0.88%
245,372.75,371.5,373.75,369.5,117.07K,0.40%
246,370.75,372.75,374.5,369.5,133.00K,-0.54%
247,373.25,371.25,374.5,371,100.44K,0.67%
248,374.75,372,376,370.25,144.29K,0.40%
249,374.25,375.25,377.5,372.25,119.19K,-0.13%
250,372.5,373.5,375.75,368.25,175.42K,-0.47%
251,371.5,371.25,373,369.75,90.80K,-0.27%
252,388,372,388.25,371.5,337.25K,4.44%
253,392.5,386.75,392.75,385.25,227.07K,1.16%
254,387.75,390.5,391.75,385.5,158.92K,-1.21%
255,388.75,387,390.75,385.5,125.49K,0.26%
256,384.75,388,389,383.75,116.34K,-1.03%
257,387,387.5,387.75,385,100.42K,0.58%
258,395.75,387.5,396.5,386,200.46K,2.26%
259,394.25,395.5,397.25,393,140.85K,-0.38%
260,380.25,392.75,395,378.25,297.05K,-3.55%
261,397.75,380.75,398.75,380.5,272.44K,4.60%
262,397.75,401.25,402.5,393.25,170.71K,0.00%
263,393.25,397,398.5,392.5,143.68K,-1.13%
264,391.75,392,392.75,387.5,139.68K,-0.38%
265,394.75,391.75,397.25,391.5,141.53K,0.77%
266,391,394,395.75,389.75,122.01K,-0.95%
267,387.25,390,393.75,386.5,150.19K,-0.96%
268,388,387,392.5,385,136.69K,0.19%
269,387.75,387.75,389.5,384,117.56K,-0.06%
270,386.75,388.5,390.75,385.25,130.66K,-0.26%
271,386.75,387,390,385.75,131.68K,0.00%
272,384,386,386.5,383.25,122.79K,-0.71%
